StartRange,EndRange,ISOCode,SrcGrpID
1021986560,1022033919,NZ,4
1022033920,1022099455,AU,4
1022099456,1022361599,JP,2
1022361600,1022623743,AU,4
1022623744,1022656511,TW,2
1022656512,1022689279,AU,4
1022689280,1022705663,TW,2
1022705664,1022885887,AU,4
1022885888,1022951423,TW,2
1022951424,1023213567,AU,4
1023213568,1023229951,JP,2
1023229952,1023230206,AU,4
1023230207,1023238143,JP,2
1023238144,1023279103,AU,4
1023279104,1023311871,IN,3
1023311872,1023328255,US,7
1023328256,1023344639,AU,4
1023344640,1023410175,CN,2
1023410176,1023672319,IN,3
1023672320,1023688703,HK,3
1023688704,1023705087,AU,4
1023705088,1023717375,JP,2
1023717376,1023721471,AU,4
1023721472,1023737855,KR,2
1023737856,1023770623,ID,3
1023770624,1023778815,PK,1
1023778816,1023787007,AU,4
1023787008,1023791103,ID,3
1023791104,1023803391,AU,4
1023803392,1023852543,MY,3
1023852544,1023868927,BN,3
1023868928,1023901695,JP,2
1023901696,1023934463,TH,3
1023934464,1023967231,AU,4
1023967232,1023975423,IN,3
1023975424,1023983615,AU,4
1023983616,1023999999,SG,3
1024000000,1024032767,PH,1
1024032768,1024065535,AU,4
1024065536,1024131071,HK,3
1024131072,1024163839,IN,3
1024163840,1024184319,JP,2
1024184320,1024188415,AU,4
1024188416,1024196607,TH,3
1024196608,1024229375,IN,3
1024229376,1024262143,JP,2
1024262144,1024327679,SG,3
1024327680,1024328575,US,7
1024328576,1024329279,IN,3
1024329280,1024329343,US,7
1024329344,1024329503,IN,3
1024329504,1024330751,US,7
1024330752,1024330759,IN,3
1024330760,1024331327,US,7
1024331328,1024331519,IN,3
1024331520,1024332287,US,7
1024332288,1024332415,IN,3
1024332416,1024332487,US,7
1024332488,1024332495,IN,3
1024332496,1024332927,US,7
1024332928,1024333055,IN,3
1024333056,1024333247,US,7
1024333248,1024333311,HK,3
1024333312,1024333367,US,7
1024333368,1024333375,IN,3
1024333376,1024333791,US,7
1024333792,1024333823,ID,3
1024333824,1024333951,US,7
1024333952,1024334079,IN,3
1024334080,1024334847,US,7
1024334848,1024334911,PH,1
1024334912,1024335111,US,7
1024335112,1024335119,CN,2
1024335120,1024335151,US,7
1024335152,1024335167,JP,2
1024335168,1024335183,US,7
1024335184,1024335199,CN,2
1024335200,1024335679,US,7
1024335680,1024335743,IN,3
1024335744,1024335807,US,7
1024335808,1024335871,IN,3
1024335872,1024339583,US,7
1024339584,1024339711,HK,3
1024339712,1024339967,ID,3
1024339968,1024344063,US,7
1024344064,1024352255,SG,3
1024352256,1024360447,AU,4
1024360448,1024361095,HK,3
1024361096,1024361119,AU,4
1024361120,1024361183,HK,3
1024361184,1024361279,AU,4
1024361280,1024361343,HK,3
1024361344,1024361471,AU,4
1024361472,1024361487,TW,2
1024361488,1024361503,AU,4
1024361504,1024361727,PH,1
1024361728,1024361743,TW,2
1024361744,1024361775,PH,1
1024361776,1024361791,TW,2
1024361792,1024361799,PH,1
1024361800,1024361807,AU,4
1024361808,1024361855,PH,1
1024361856,1024361983,TW,2
1024361984,1024362495,PH,1
1024362496,1024362575,MY,3
1024362576,1024362591,SG,3
1024362592,1024362607,MY,3
1024362608,1024362623,AU,4
1024362624,1024362655,SG,3
1024362656,1024362671,AU,4
1024362672,1024362687,SG,3
1024362688,1024362703,AU,4
1024362704,1024362719,MY,3
1024362720,1024362735,SG,3
1024362736,1024362751,AU,4
1024362752,1024362815,SG,3
1024362816,1024362831,MY,3
1024362832,1024362879,SG,3
1024362880,1024362911,MY,3
1024362912,1024363015,SG,3
1024363016,1024363023,AU,4
1024363024,1024363055,SG,3
1024363056,1024363999,AU,4
1024364000,1024364015,NZ,4
1024364016,1024364799,AU,4
1024364800,1024365055,TW,2
1024365056,1024365823,AU,4
1024365824,1024366335,PH,1
1024366336,1024366591,AU,4
1024366592,1024366847,HK,3
1024366848,1024367103,TW,2
1024367104,1024367359,PH,1
1024367360,1024368127,AU,4
1024368128,1024368383,PH,1
1024368384,1024368639,AU,4
1024368640,1024369407,MY,3
1024369408,1024369919,PH,1
1024369920,1024370175,TW,2
1024370176,1024371455,PH,1
1024371456,1024371967,JP,2
1024371968,1024372479,PH,1
1024372480,1024372735,HK,3
1024372736,1024373503,PH,1
1024373504,1024373759,AU,4
1024373760,1024374015,PH,1
1024374016,1024374783,AU,4
1024374784,1024375055,JP,2
1024375056,1024375807,AU,4
1024375808,1024375999,TW,2
1024376000,1024376063,PH,1
1024376064,1024376191,TW,2
1024376192,1024376319,PH,1
1024376320,1024376447,TW,2
1024376448,1024376511,PH,1
1024376512,1024376703,TW,2
1024376704,1024376831,AU,4
1024376832,1024393215,PH,1
1024393216,1024458751,HK,3
1024458752,1024491519,SG,3
1024491520,1024589823,IN,3
1024589824,1024655359,HK,3
1024655360,1024720895,TH,3
1024720896,1024786431,TW,2
1024786432,1025245183,JP,2
1025245184,1025277951,CN,2
1025277952,1025294335,PH,1
1025294336,1025343487,AU,4
1025343488,1025376255,CN,2
1025376256,1025507327,TW,2
1025507328,1026293759,KR,2
1026293760,1026392063,JP,2
1026392064,1026408447,CN,2
1026408448,1026424831,AU,4
1026424832,1026490367,JP,2
1026490368,1026523135,TH,3
1026523136,1026539519,CN,2
1026539520,1026555903,KR,2
1026555904,1027080191,CN,2
1027080192,1027866623,TW,2
1027866624,1027997695,AU,4
1027997696,1028128767,TW,2
1028128768,1029046271,KR,2
1029046272,1029144575,JP,2
1029144576,1029160959,SG,3
1029160960,1029242879,AU,4
1029242880,1029308415,JP,2
1029308416,1029439487,TH,3
1029439488,1029570559,HK,3
1029570560,1029636095,ID,3
1029636096,1029668863,AU,4
1029668864,1029701631,IN,3
1029701632,1030750207,KR,2
1030750208,1031798783,JP,2
1031798784,1033982787,CN,2
1033982788,1033982788,FR,8
1033982789,1034001207,CN,2
1034001208,1034001215,FR,8
1034001216,1035993087,CN,2
1035993088,1037565951,JP,2
1037565952,1037591499,TW,2
1037591500,1037591503,CN,2
1037591504,1038614527,TW,2
1038614528,1039007743,CN,2
1039007744,1039138815,HK,3
1039138816,1039400959,CN,2
1039400960,1039466495,HK,3
1039466496,1039499263,JP,2
1039499264,1039532031,AU,4
1039532032,1039597567,IN,3
1039597568,1039613951,ID,3
1039613952,1039638527,KR,2
1039638528,1039654911,AU,4
1039654912,1039663103,IN,3
1039663104,1040187391,KR,2
1040187392,1040252927,IL,1
1040252928,1040318463,GR,1
1040318464,1040383999,CH,1
1040384000,1040392191,SA,1
1040392192,1040392447,GB,6
1040392448,1040399359,SA,1
1040399360,1040400127,GB,6
1040400128,1040400383,SA,1
1040400384,1040416767,GB,6
1040416768,1040424959,SE,1
1040424960,1040433151,PL,1
1040433152,1040449535,GB,6
1040449536,1040449791,FR,8
1040449792,1040450047,DE,9
1040450048,1040457727,FR,8
1040457728,1040465919,IT,11
1040465920,1040466943,DE,9
1040466944,1040466959,CA,5
1040466960,1040467071,DE,9
1040467072,1040467087,FR,8
1040467088,1040467103,DE,9
1040467104,1040467135,FR,8
1040467136,1040467583,DE,9
1040467584,1040467743,FR,8
1040467744,1040467759,DE,9
1040467760,1040467823,FR,8
1040467824,1040467935,DE,9
1040467936,1040467951,FR,8
1040467952,1040467967,DE,9
1040467968,1040468255,FR,8
1040468256,1040468263,DE,9
1040468264,1040468287,FR,8
1040468288,1040468335,DE,9
1040468336,1040468351,CH,1
1040468352,1040468415,DE,9
1040468416,1040468479,FR,8
1040468480,1040468735,DE,9
1040468736,1040468767,NL,1
1040468768,1040468799,DE,9
1040468800,1040468847,NL,1
1040468848,1040468863,DE,9
1040468864,1040468991,NL,1
1040468992,1040469023,DE,9
1040469024,1040469279,FR,8
1040469280,1040469311,DE,9
1040469312,1040469343,FR,8
1040469344,1040469375,DE,9
1040469376,1040469567,FR,8
1040469568,1040469631,DE,9
1040469632,1040469887,FR,8
1040469888,1040469903,DE,9
1040469904,1040469927,FR,8
1040469928,1040469967,DE,9
1040469968,1040469999,FR,8
1040470000,1040470527,DE,9
1040470528,1040471295,NL,1
1040471296,1040471487,DE,9
1040471488,1040471711,NL,1
1040471712,1040471743,DE,9
1040471744,1040471775,NL,1
1040471776,1040472991,DE,9
1040472992,1040473343,NL,1
1040473344,1040473599,DE,9
1040473600,1040474111,NL,1
1040474112,1040482303,CZ,1
1040482304,1040515071,BE,1
1040515072,1040547839,SE,1
1040547840,1040580607,RU,13
1040580608,1040711679,GB,6
1040711680,1040719871,FR,8
1040719872,1040728063,DE,9
1040736256,1040744447,GB,6
1040744448,1040777215,DE,9
1040777216,1040842751,IE,1
1040842752,1040843007,DE,9
1040843008,1040973823,IT,11
1040973824,1040982015,NL,1
1040982016,1040982303,DK,1
1040982304,1040982335,NG,1
1040982336,1040982351,ZW,1
1040982352,1040982367,NG,1
1040982368,1040982399,DK,1
1040982400,1040982407,CH,1
1040982408,1040982415,LR,1
1040982416,1040982527,DK,1
1040982528,1040982559,CM,1
1040982560,1040982783,DK,1
1040982784,1040982799,NG,1
1040982800,1040990207,DK,1
1041006592,1041039359,CH,1
1041039360,1041051647,SE,1
1041051648,1041051839,NO,1
1041051840,1041052159,SE,1
1041052160,1041052175,NO,1
1041052176,1041072127,SE,1
1041072128,1041080319,GB,6
1041080320,1041088511,IT,11
1041088512,1041096703,AT,1
1041096704,1041235967,ES,10
1041235968,1041244159,UA,1
1041244160,1041252351,RU,13
1041252352,1041252863,TJ,1
1041252864,1041253119,RU,13
1041253120,1041253375,TJ,1
1041253376,1041268735,RU,13
1041268736,1041301503,NO,1
1041301504,1041301535,GB,6
1041301536,1041301599,IE,1
1041301600,1041301615,GB,6
1041301616,1041301887,IE,1
1041301888,1041301919,GB,6
1041301920,1041302015,IE,1
1041302016,1041302271,GB,6
1041302272,1041302303,IE,1
1041302304,1041302319,GB,6
1041302320,1041305887,IE,1
1041305888,1041305983,GB,6
1041305984,1041306031,IE,1
1041306032,1041306063,GB,6
1041306064,1041306399,IE,1
1041306400,1041306495,GB,6
1041306496,1041306511,IE,1
1041306512,1041306527,GB,6
1041306528,1041306559,IE,1
1041306560,1041306575,GB,6
1041306576,1041306607,IE,1
1041306608,1041306671,GB,6
1041306672,1041306751,IE,1
1041306752,1041306815,GB,6
1041306816,1041306863,IE,1
1041306864,1041306879,GB,6
1041306880,1041307135,IE,1
1041307136,1041307391,GB,6
1041307392,1041307455,IE,1
1041307456,1041307471,GB,6
1041307472,1041307487,IE,1
1041307488,1041307519,GB,6
1041307520,1041307551,IE,1
1041307552,1041307599,GB,6
1041307600,1041308031,IE,1
1041308032,1041308063,GB,6
1041308064,1041308287,IE,1
1041308288,1041308303,GB,6
1041308304,1041308335,IE,1
1041308336,1041308343,GB,6
1041308344,1041308415,IE,1
1041308416,1041308671,GB,6
1041308672,1041309119,IE,1
1041309120,1041309183,GB,6
1041309184,1041310063,IE,1
1041310064,1041310079,GB,6
1041310080,1041310511,IE,1
1041310512,1041310527,GB,6
1041310528,1041334271,IE,1
1041334272,1041334543,GB,6
1041334544,1041334751,IE,1
1041334752,1041334767,GB,6
1041334768,1041334783,IE,1
1041334784,1041335039,GB,6
1041335040,1041335295,IE,1
1041335296,1041335391,GB,6
1041335392,1041335519,IE,1
1041335520,1041335807,GB,6
1041335808,1041335839,IE,1
1041335840,1041335871,GB,6
1041335872,1041335935,IE,1
1041335936,1041335967,GB,6
1041335968,1041336015,IE,1
1041336016,1041336031,GB,6
1041336032,1041336063,IE,1
1041336064,1041336127,GB,6
1041336128,1041336207,IE,1
1041336208,1041336223,GB,6
1041336224,1041336303,IE,1
1041336304,1041336319,GB,6
1041336320,1041337471,IE,1
1041337472,1041337487,GB,6
1041337488,1041337583,IE,1
1041337584,1041337599,GB,6
1041337600,1041337663,IE,1
1041337664,1041337791,GB,6
1041337792,1041337855,IE,1
1041337856,1041337887,GB,6
1041337888,1041337919,IE,1
1041337920,1041337935,GB,6
1041337936,1041337999,IE,1
1041338000,1041338015,GB,6
1041338016,1041338031,IE,1
1041338032,1041338111,GB,6
1041338112,1041338751,IE,1
1041338752,1041338815,GB,6
1041338816,1041338831,IE,1
1041338832,1041338847,GB,6
1041338848,1041338879,IE,1
1041338880,1041338895,GB,6
1041338896,1041338927,IE,1
1041338928,1041339007,GB,6
1041339008,1041339087,IE,1
1041339088,1041339119,GB,6
1041339120,1041339135,IE,1
1041339136,1041339151,GB,6
1041339152,1041339263,IE,1
1041339264,1041339343,GB,6
1041339344,1041339359,IE,1
1041339360,1041339391,GB,6
1041339392,1041339423,IE,1
1041339424,1041339439,GB,6
1041339440,1041339455,IE,1
1041339456,1041339487,GB,6
1041339488,1041339519,IE,1
1041339520,1041339535,GB,6
1041339536,1041339679,IE,1
1041339680,1041339711,GB,6
1041339712,1041339743,IE,1
1041339744,1041339759,GB,6
1041339760,1041339839,IE,1
1041339840,1041339871,GB,6
1041339872,1041339935,IE,1
1041339936,1041339967,GB,6
1041339968,1041339983,IE,1
1041339984,1041339999,GB,6
1041340000,1041340031,IE,1
1041340032,1041340079,GB,6
1041340080,1041340095,IE,1
1041340096,1041340127,GB,6
1041340128,1041340191,IE,1
1041340192,1041340223,GB,6
1041340224,1041340255,IE,1
1041340256,1041340271,GB,6
1041340272,1041340319,IE,1
1041340320,1041340335,GB,6
1041340336,1041340367,IE,1
1041340368,1041340383,GB,6
1041340384,1041340447,IE,1
1041340448,1041340463,GB,6
1041340464,1041340543,IE,1
1041340544,1041340607,GB,6
1041340608,1041340639,IE,1
1041340640,1041340703,GB,6
1041340704,1041340735,IE,1
1041340736,1041340751,GB,6
1041340752,1041340799,IE,1
1041340800,1041340863,GB,6
1041340864,1041340911,IE,1
1041340912,1041340943,GB,6
1041340944,1041340991,IE,1
1041340992,1041341007,GB,6
1041341008,1041341087,IE,1
1041341088,1041341103,GB,6
1041341104,1041341151,IE,1
1041341152,1041341183,GB,6
1041341184,1041341231,IE,1
1041341232,1041341247,GB,6
1041341248,1041341279,IE,1
1041341280,1041341343,GB,6
1041341344,1041341407,IE,1
1041341408,1041341439,GB,6
1041341440,1041341759,IE,1
1041341760,1041341791,GB,6
1041341792,1041341807,IE,1
1041341808,1041341823,GB,6
1041341824,1041341855,IE,1
1041341856,1041341887,GB,6
1041341888,1041341919,IE,1
1041341920,1041341935,GB,6
1041341936,1041342047,IE,1
1041342048,1041342079,GB,6
1041342080,1041342127,IE,1
1041342128,1041342143,GB,6
1041342144,1041342175,IE,1
1041342176,1041342191,GB,6
1041342192,1041342207,IE,1
1041342208,1041342223,GB,6
1041342224,1041342239,IE,1
1041342240,1041342255,GB,6
1041342256,1041342271,IE,1
1041342272,1041342303,GB,6
1041342304,1041342383,IE,1
1041342384,1041342415,GB,6
1041342416,1041342431,IE,1
1041342432,1041342463,GB,6
1041342464,1041342479,IE,1
1041342480,1041342511,GB,6
1041342512,1041342543,IE,1
1041342544,1041342575,GB,6
1041342576,1041342591,IE,1
1041342592,1041342607,GB,6
1041342608,1041342975,IE,1
1041342976,1041343023,GB,6
1041343024,1041343039,IE,1
1041343040,1041343183,GB,6
1041343184,1041343231,IE,1
1041343232,1041343743,GB,6
1041343744,1041344063,IE,1
1041344064,1041344079,GB,6
1041344080,1041344111,IE,1
1041344112,1041344159,GB,6
1041344160,1041344191,IE,1
1041344192,1041344223,GB,6
1041344224,1041344255,IE,1
1041344256,1041344511,GB,6
1041344512,1041344527,IE,1
1041344528,1041344575,GB,6
1041344576,1041344607,IE,1
1041344608,1041344639,GB,6
1041344640,1041344687,IE,1
1041344688,1041344719,GB,6
1041344720,1041344751,IE,1
1041344752,1041344767,GB,6
1041344768,1041344799,IE,1
1041344800,1041344847,GB,6
1041344848,1041344895,IE,1
1041344896,1041344959,GB,6
1041344960,1041344991,IE,1
1041344992,1041345007,GB,6
1041345008,1041345023,IE,1
1041345024,1041345279,GB,6
1041345280,1041345551,IE,1
1041345552,1041345583,GB,6
1041345584,1041345599,IE,1
1041345600,1041345631,GB,6
1041345632,1041345647,IE,1
1041345648,1041345663,GB,6
1041345664,1041345679,IE,1
1041345680,1041345695,GB,6
1041345696,1041345727,IE,1
1041345728,1041345767,GB,6
1041345768,1041345775,IE,1
1041345776,1041345791,GB,6
1041345792,1041346047,IE,1
1041346048,1041346119,GB,6
1041346120,1041346135,IE,1
1041346136,1041346143,GB,6
1041346144,1041346151,IE,1
1041346152,1041346159,GB,6
1041346160,1041346191,IE,1
1041346192,1041346215,GB,6
1041346216,1041346255,IE,1
1041346256,1041346263,GB,6
1041346264,1041346815,IE,1
1041346816,1041347391,GB,6
1041347392,1041358047,IE,1
1041358048,1041358079,GB,6
1041358080,1041362959,IE,1
1041362960,1041362975,GB,6
1041362976,1041363007,IE,1
1041363008,1041363023,GB,6
1041363024,1041363167,IE,1
1041363168,1041363455,GB,6
1041363456,1041363711,IE,1
1041363712,1041363751,GB,6
1041363752,1041363759,IE,1
1041363760,1041363775,GB,6
1041363776,1041363839,IE,1
1041363840,1041363871,GB,6
1041363872,1041364495,IE,1
1041364496,1041364575,GB,6
1041364576,1041364607,IE,1
1041364608,1041364735,GB,6
1041364736,1041365039,IE,1
1041365040,1041365055,GB,6
1041365056,1041365079,IE,1
1041365080,1041365103,GB,6
1041365104,1041365119,IE,1
1041365120,1041365167,GB,6
1041365168,1041365199,IE,1
1041365200,1041365247,GB,6
1041365248,1041365503,IE,1
1041365504,1041365743,GB,6
1041365744,1041366031,IE,1
1041366032,1041366079,GB,6
1041366080,1041366119,IE,1
1041366120,1041366127,GB,6
1041366128,1041366143,IE,1
1041366144,1041366207,GB,6
1041366208,1041366271,IE,1
1041366272,1041366527,GB,6
1041366528,1041367039,IE,1
1041367040,1041498111,GB,6
1041498112,1041563647,SE,1
1041563648,1041596415,PL,1
1041596416,1041629183,NL,1
1041629184,1041694719,ES,10
1041694720,1041694847,FR,8
1041694848,1041694863,GB,6
1041694864,1041694927,FR,8
1041694928,1041694975,GB,6
1041694976,1041695279,FR,8
1041695280,1041695295,GB,6
1041695296,1041695455,FR,8
1041695456,1041695487,GB,6
1041695488,1041695551,FR,8
1041695552,1041695567,GB,6
1041695568,1041695615,FR,8
1041695616,1041695703,GB,6
1041695704,1041695711,FR,8
1041695712,1041696023,GB,6
1041696024,1041696415,FR,8
1041696416,1041696431,GB,6
1041696432,1041697151,FR,8
1041697152,1041697159,GB,6
1041697160,1041697183,FR,8
1041697184,1041697199,GB,6
1041697200,1041697391,FR,8
1041697392,1041697407,GB,6
1041697408,1041697699,FR,8
1041697700,1041697703,GB,6
1041697704,1041697815,FR,8
1041697816,1041697823,GB,6
1041697824,1041697855,FR,8
1041697856,1041697863,GB,6
1041697864,1041697895,FR,8
1041697896,1041697903,GB,6
1041697904,1041697919,FR,8
1041697920,1041697983,GB,6
1041697984,1041698127,FR,8
1041698128,1041698143,GB,6
1041698144,1041698247,FR,8
1041698248,1041698255,GB,6
1041698256,1041698263,FR,8
1041698264,1041698271,GB,6
1041698272,1041698287,FR,8
1041698288,1041698303,GB,6
1041698304,1041698591,FR,8
